01-15 11:55:14: Training starting...
01-15 11:55:15: New best reward -8.7 (-100.0%) at episode 0, saving model...
01-15 11:55:16: New best reward -8.1 (-6.9%) at episode 1, saving model...
01-15 11:55:16: New best reward -7.5 (-7.4%) at episode 5, saving model...
01-15 11:55:16: New best reward -6.9 (-8.0%) at episode 7, saving model...
01-15 11:55:16: New best reward -5.1 (-26.1%) at episode 8, saving model...
01-15 11:55:16: New best reward -3.3 (-35.3%) at episode 13, saving model...
01-15 11:55:16: New best reward 0.9 (-127.3%) at episode 50, saving model...
01-15 11:55:27: New best reward 3.9 (+333.3%) at episode 639, saving model...
01-15 11:58:47: New best reward 4.1 (+5.1%) at episode 8342, saving model...
01-15 11:59:47: New best reward 4.3 (+4.9%) at episode 11969, saving model...
01-15 11:59:56: New best reward 4.4 (+2.3%) at episode 12431, saving model...
01-15 12:00:07: New best reward 8.4 (+90.9%) at episode 13087, saving model...
01-15 12:03:08: New best reward 9.1 (+8.3%) at episode 22279, saving model...
01-15 12:04:55: New best reward 9.5 (+4.4%) at episode 27275, saving model...
01-15 12:05:23: New best reward 10.6 (+11.6%) at episode 28512, saving model...
01-15 12:28:37: New best reward 12.9 (+21.7%) at episode 66065, saving model...
01-15 12:33:52: New best reward 13.2 (+2.3%) at episode 75794, saving model...
01-15 12:33:54: New best reward 17.9 (+35.6%) at episode 75829, saving model...
01-15 12:34:07: New best reward 22.4 (+25.1%) at episode 76205, saving model...
01-15 12:38:32: New best reward 22.8 (+1.8%) at episode 83505, saving model...
01-15 12:39:46: New best reward 27.9 (+22.4%) at episode 85498, saving model...
01-15 12:45:23: New best reward 29.5 (+5.7%) at episode 93710, saving model...
01-15 12:50:21: New best reward 32.0 (+8.5%) at episode 97912, saving model...
01-15 12:51:14: New best reward 38.9 (+21.6%) at episode 99115, saving model...
01-15 13:05:06: New best reward 46.0 (+18.3%) at episode 109213, saving model...
01-15 14:04:20: New best reward 50.4 (+9.6%) at episode 133591, saving model...
01-15 14:24:22: New best reward 51.5 (+2.2%) at episode 146897, saving model...
01-15 14:40:21: New best reward 51.6 (+0.2%) at episode 165004, saving model...
01-15 14:43:06: New best reward 53.1 (+2.9%) at episode 168126, saving model...
